time,flow,temp
2014-09-15,0.993,NA
2014-09-16,0.870,NA
2014-09-17,0.933,NA
2014-09-18,0.830,NA
2014-09-19,0.933,NA
2014-09-20,0.830,NA
2014-09-21,0.990,NA
2014-09-22,2.030,NA
2014-09-23,1.307,NA
2014-09-24,0.701,NA
2014-09-25,0.990,NA
2014-09-26,0.960,NA
2014-09-27,0.571,NA
2014-09-28,0.521,NA
2014-09-29,0.890,NA
2014-09-30,1.364,NA
2014-10-01,6.743,NA
2014-10-02,3.256,NA
2014-10-03,1.890,NA
2014-10-04,1.427,NA
2014-10-05,1.217,NA
2014-10-06,1.077,NA
2014-10-07,0.874,NA
2014-10-08,0.711,NA
2014-10-09,0.651,NA
2014-10-10,0.611,NA
2014-10-11,0.754,NA
2014-10-12,0.744,NA
2014-10-13,1.004,NA
2014-10-14,1.011,NA
2014-10-15,0.981,NA
2014-10-16,0.811,NA
2014-10-17,0.759,NA
2014-10-18,0.849,NA
2014-10-19,0.719,NA
2014-10-20,0.861,NA
2014-10-21,2.523,NA
2014-10-22,3.848,NA
2014-10-23,17.343,NA
2014-10-24,6.041,NA
2014-10-25,3.046,NA
2014-10-26,2.383,NA
2014-10-27,1.793,NA
2014-10-28,1.543,NA
2014-10-29,1.227,NA
2014-10-30,2.653,NA
2014-10-31,2.751,NA
2014-11-01,1.474,NA
2014-11-02,1.073,NA
2014-11-03,0.970,NA
2014-11-04,0.967,NA
2014-11-05,0.764,NA
2014-11-06,1.134,NA
2014-11-07,1.334,NA
2014-11-08,0.921,NA
2014-11-09,0.811,NA
2014-11-10,0.761,NA
2014-11-11,0.691,NA
2014-11-12,0.970,NA
2014-11-13,0.907,NA
2014-11-14,0.857,NA
2014-11-15,0.930,NA
2014-11-16,0.910,NA
2014-11-17,0.817,NA
2014-11-18,2.714,NA
2014-11-19,4.358,NA
2014-11-20,3.463,NA
2014-11-21,8.580,NA
2014-11-22,4.820,NA
2014-11-23,3.187,NA
2014-11-24,2.098,NA
2014-11-25,1.823,NA
2014-11-26,1.411,NA
2014-11-27,1.020,NA
2014-11-28,1.166,NA
2014-11-29,1.136,NA
2014-11-30,1.033,NA
2014-12-01,0.950,NA
2014-12-02,0.920,NA
2014-12-03,0.787,NA
2014-12-04,0.817,NA
2014-12-05,1.726,NA
2014-12-06,1.716,NA
2014-12-07,1.086,NA
2014-12-08,1.096,NA
2014-12-09,1.106,NA
2014-12-10,1.096,NA
2014-12-11,1.003,NA
2014-12-12,1.003,NA
2014-12-13,0.993,NA
2014-12-14,0.973,NA
2014-12-15,0.880,NA
2014-12-16,0.900,NA
2014-12-17,3.047,NA
2014-12-18,3.370,NA
2014-12-19,2.961,NA
2014-12-20,3.204,NA
2014-12-21,2.374,NA
2014-12-22,2.061,NA
2014-12-23,1.768,NA
2014-12-24,1.486,NA
2014-12-25,1.386,NA
2014-12-26,1.376,NA
2014-12-27,1.190,NA
2014-12-28,1.150,NA
2014-12-29,1.030,NA
2014-12-30,1.060,NA
2014-12-31,1.183,NA
2015-01-01,1.130,NA
2015-01-02,1.520,NA
2015-01-03,6.070,NA
2015-01-04,9.550,NA
2015-01-05,3.340,NA
2015-01-06,2.137,NA
2015-01-07,1.707,NA
2015-01-08,1.534,NA
2015-01-09,1.794,NA
2015-01-10,2.081,NA
2015-01-11,3.261,NA
2015-01-12,2.711,NA
2015-01-13,1.791,NA
2015-01-14,1.674,NA
2015-01-15,2.000,NA
2015-01-16,2.131,NA
2015-01-17,2.208,NA
2015-01-18,3.580,NA
2015-01-19,2.348,NA
2015-01-20,1.873,NA
2015-01-21,1.607,NA
2015-01-22,1.457,NA
2015-01-23,1.317,NA
2015-01-24,1.227,NA
2015-01-25,1.177,NA
2015-01-26,0.984,NA
2015-01-27,0.729,NA
2015-01-28,0.831,NA
2015-01-29,1.254,NA
2015-01-30,1.683,NA
2015-01-31,1.921,NA
2015-02-01,4.102,NA
2015-02-02,8.346,NA
2015-02-03,3.624,NA
2015-02-04,1.283,NA
2015-02-05,1.130,NA
2015-02-06,1.564,NA
2015-02-07,1.494,NA
2015-02-08,1.484,NA
2015-02-09,1.484,NA
2015-02-10,1.670,NA
2015-02-11,1.896,NA
2015-02-12,1.780,NA
2015-02-13,1.637,NA
2015-02-14,1.266,NA
2015-02-15,1.597,NA
2015-02-16,1.527,NA
2015-02-17,1.404,NA
2015-02-18,1.126,NA
2015-02-19,0.950,NA
2015-02-20,0.950,NA
2015-02-21,1.000,NA
2015-02-22,1.030,NA
2015-02-23,1.070,NA
2015-02-24,1.560,NA
2015-02-25,1.777,NA
2015-02-26,1.750,NA
2015-02-27,1.733,NA
2015-02-28,1.823,NA
2015-03-01,2.240,NA
2015-03-02,9.400,NA
2015-03-03,5.253,NA
2015-03-04,3.090,NA
2015-03-05,2.194,NA
2015-03-06,1.734,NA
2015-03-07,1.544,NA
2015-03-08,1.441,NA
2015-03-09,1.544,NA
2015-03-10,1.617,NA
2015-03-11,1.787,NA
2015-03-12,1.667,NA
2015-03-13,1.477,NA
2015-03-14,1.287,NA
2015-03-15,1.167,NA
2015-03-16,1.044,NA
2015-03-17,0.941,NA
2015-03-18,0.726,NA
2015-03-19,0.676,NA
2015-03-20,0.646,NA
2015-03-21,0.699,NA
2015-03-22,1.179,NA
2015-03-23,1.249,NA
2015-03-24,1.091,NA
2015-03-25,1.210,NA
2015-03-26,1.120,NA
2015-03-27,0.977,NA
2015-03-28,0.947,NA
2015-03-29,0.927,NA
2015-03-30,1.600,NA
2015-03-31,5.589,NA
2015-04-01,4.982,NA
2015-04-02,4.344,NA
2015-04-03,3.961,NA
2015-04-04,4.043,NA
2015-04-05,4.357,NA
2015-04-06,3.515,NA
2015-04-07,2.980,NA
2015-04-08,2.591,NA
2015-04-09,2.587,NA
2015-04-10,2.036,NA
2015-04-11,1.647,NA
2015-04-12,1.103,NA
2015-04-13,1.053,NA
2015-04-14,1.000,NA
2015-04-15,0.850,NA
2015-04-16,0.860,NA
2015-04-17,0.910,NA
2015-04-18,1.387,NA
2015-04-19,1.044,NA
2015-04-20,1.803,NA
2015-04-21,1.106,NA
2015-04-22,0.920,NA
2015-04-23,0.950,NA
2015-04-24,0.847,NA
2015-04-25,0.817,NA
2015-04-26,0.724,NA
2015-04-27,0.724,NA
2015-04-28,2.668,NA
